time,symbol,open,high,low,close,volume
2026-05-25 04:48:00+00,BANKNIFTY,54981.55,54988.6,54972.2,54983.25,346579
2026-05-25 04:49:00+00,NIFTY,23977.05,23977.9,23971.1,23971.7,611477
2026-05-25 04:49:00+00,BANKNIFTY,54987.55,54994.35,54980.9,54989.85,334141
2026-05-25 04:50:00+00,NIFTY,23972.6,23973.1,23968,23968.15,566756
2026-05-25 04:50:00+00,BANKNIFTY,54986.9,54991.15,54974.75,54976.1,313141
2026-05-25 04:51:00+00,NIFTY,23968.35,23970.45,23965.55,23969.75,1006570
2026-05-25 04:51:00+00,BANKNIFTY,54973.4,54981.65,54960.2,54968.45,388370
2026-05-25 04:52:00+00,NIFTY,23969.95,23980.95,23968.05,23976.65,860052
2026-05-25 04:52:00+00,BANKNIFTY,54962.85,54977.4,54962.85,54965.7,324080
2026-05-25 04:53:00+00,NIFTY,23978.1,23978.15,23971.95,23973.35,951551
2026-05-25 04:53:00+00,BANKNIFTY,54969.05,54973.7,54954.8,54957.65,324352
2026-05-25 04:54:00+00,NIFTY,23973.4,23973.4,23966.25,23966.3,727700
2026-05-25 04:54:00+00,BANKNIFTY,54957.65,54962.85,54946.6,54950.25,336190
2026-05-25 04:55:00+00,NIFTY,23967.3,23967.95,23960.15,23962.8,705535
2026-05-25 04:55:00+00,BANKNIFTY,54947.15,54949.85,54936.35,54945.25,319636
2026-05-25 04:56:00+00,NIFTY,23963.95,23965.3,23960.25,23962.9,613448
2026-05-25 04:56:00+00,BANKNIFTY,54948.05,54966.25,54944,54960.5,491240
2026-05-25 04:57:00+00,NIFTY,23963.45,23964.95,23955.65,23958.1,501902
2026-05-25 04:57:00+00,BANKNIFTY,54962.05,54967.6,54947.5,54953,337232
2026-05-25 04:58:00+00,NIFTY,23958.65,23959.85,23954.45,23958.65,416810
2026-05-25 04:58:00+00,BANKNIFTY,54952.75,54952.75,54939.65,54943.95,524278
2026-05-25 04:59:00+00,NIFTY,23961.4,23962.5,23956.8,23958.85,442468
2026-05-25 04:59:00+00,BANKNIFTY,54943.4,54953.4,54940.9,54949.15,254322
2026-05-25 05:00:00+00,NIFTY,23960.9,23966.75,23959.2,23964.4,556127
2026-05-25 05:00:00+00,BANKNIFTY,54952.2,54990.2,54952.15,54986.55,650489
2026-05-25 05:01:00+00,NIFTY,23967.6,23972.2,23963.45,23970.95,776596
2026-05-25 05:01:00+00,BANKNIFTY,54988,55020.85,54979.05,55018.35,472555
2026-05-25 05:02:00+00,BANKNIFTY,55022.1,55022.1,55022.1,55022.1,0
2026-05-25 05:02:00+00,NIFTY,23973.4,23973.5,23962.65,23968.05,754083
2026-05-25 05:03:00+00,NIFTY,23969.75,23969.75,23969.15,23969.15,0
2026-05-25 05:03:00+00,BANKNIFTY,55031.2,55033.4,55029.85,55029.85,0
2026-05-25 05:04:00+00,NIFTY,23973.35,23973.35,23971.7,23971.85,39366
2026-05-25 05:04:00+00,BANKNIFTY,55035.65,55035.65,55031.5,55031.5,35500
2026-05-25 05:05:00+00,NIFTY,23975.05,23975.05,23973.75,23973.75,33641
2026-05-25 05:05:00+00,BANKNIFTY,55043.05,55044.5,55040.65,55040.65,7680
2026-05-25 05:06:00+00,NIFTY,23980.65,23981.55,23980.65,23980.75,75097
2026-05-25 05:06:00+00,BANKNIFTY,55061,55072.65,55061,55071.2,78908
2026-05-25 05:07:00+00,NIFTY,23985.1,23985.1,23983.9,23984.8,22279
2026-05-25 05:07:00+00,BANKNIFTY,55062,55062,55058.35,55060.1,15280
2026-05-25 05:08:00+00,NIFTY,23988.35,23988.65,23987.35,23987.6,57408
2026-05-25 05:08:00+00,BANKNIFTY,55062.45,55064.9,55059.45,55059.45,19048
2026-05-25 05:09:00+00,NIFTY,23986,23986,23984.95,23984.95,42965
2026-05-25 05:09:00+00,BANKNIFTY,55060.9,55060.9,55058.55,55060.6,12825
2026-05-25 05:10:00+00,NIFTY,23986.75,23987.4,23985.25,23986.7,84303
2026-05-25 05:10:00+00,BANKNIFTY,55065.5,55069.35,55061.55,55069.35,94942
2026-05-25 05:11:00+00,NIFTY,23989.35,23989.35,23986.65,23987.3,82093
2026-05-25 05:11:00+00,BANKNIFTY,55079.7,55082.1,55063.95,55074.55,61599
2026-05-25 05:12:00+00,NIFTY,23984.45,23984.55,23980.9,23982.25,116379
2026-05-25 05:12:00+00,BANKNIFTY,55068.15,55071.4,55065.85,55071.4,41894
2026-05-25 05:13:00+00,NIFTY,23986,23986,23983.95,23984.6,66581
2026-05-25 05:13:00+00,BANKNIFTY,55073.7,55073.7,55062.45,55067,48030
2026-05-25 05:14:00+00,NIFTY,23987,23987,23984.15,23984.6,67541
2026-05-25 05:14:00+00,BANKNIFTY,55064.8,55068.05,55062.05,55065.25,44383
2026-05-25 05:15:00+00,NIFTY,23989,23989,23987.25,23988.05,48045
2026-05-25 05:15:00+00,BANKNIFTY,55058.5,55058.5,55053.95,55057.8,28217
2026-05-25 05:16:00+00,NIFTY,23988,23988,23985,23986.6,94411
2026-05-25 05:16:00+00,BANKNIFTY,55064,55066.8,55055.75,55061.25,75056
2026-05-25 05:17:00+00,NIFTY,23995.55,23995.55,23992.1,23993.3,264545
2026-05-25 05:17:00+00,BANKNIFTY,55078.3,55085.8,55070.6,55073.65,206704
2026-05-25 05:18:00+00,NIFTY,23990.55,23990.55,23988.05,23989.45,87718
2026-05-25 05:18:00+00,BANKNIFTY,55078.6,55078.6,55066.3,55072.65,42397
2026-05-25 05:19:00+00,NIFTY,23990.7,23990.7,23986.4,23987,177327
2026-05-25 05:19:00+00,BANKNIFTY,55067,55072.5,55063.55,55065.55,53041
2026-05-25 05:20:00+00,NIFTY,23988.5,23989.05,23987.1,23987.55,135893
2026-05-25 05:20:00+00,BANKNIFTY,55064.25,55069.2,55061.75,55062.85,78847
2026-05-25 05:21:00+00,NIFTY,23985.4,23985.4,23982.05,23982.65,228272
2026-05-25 05:21:00+00,BANKNIFTY,55059.55,55065.55,55055.95,55065.55,60217
2026-05-25 05:22:00+00,NIFTY,23981.55,23981.55,23977.4,23978.15,109524
2026-05-25 05:22:00+00,BANKNIFTY,55062.5,55064.9,55058.65,55064.1,199184
2026-05-25 05:23:00+00,NIFTY,23983.3,23983.7,23980.55,23981.8,96808
2026-05-25 05:23:00+00,BANKNIFTY,55063.05,55066.4,55058,55059.55,550854
2026-05-25 05:24:00+00,NIFTY,23984.45,23984.7,23982.95,23983.65,126230
2026-05-25 05:24:00+00,BANKNIFTY,55062.2,55064.65,55056.25,55056.25,61211
2026-05-25 05:25:00+00,NIFTY,23989.65,23990.55,23987.4,23990,258673
2026-05-25 05:25:00+00,BANKNIFTY,55066.1,55066.1,55058.25,55064.15,118952
2026-05-25 05:26:00+00,NIFTY,23983.55,23983.55,23981.15,23981.3,371194
2026-05-25 05:26:00+00,BANKNIFTY,55044.25,55048.2,55040.15,55041.45,46760
2026-05-25 05:27:00+00,NIFTY,23984.1,23984.1,23980.4,23981.65,119470
2026-05-25 05:27:00+00,BANKNIFTY,55053.45,55053.45,55039.35,55042.95,55993
2026-05-25 05:28:00+00,NIFTY,23979.15,23979.15,23975.3,23975.8,104096
2026-05-25 05:28:00+00,BANKNIFTY,55030.85,55030.85,55020,55025.4,47802
2026-05-25 05:29:00+00,NIFTY,23975.75,23975.75,23973.7,23974.5,115647
2026-05-25 05:29:00+00,BANKNIFTY,55023.85,55032.1,55020.75,55032.1,91092
2026-05-25 05:30:00+00,NIFTY,23979.55,23979.55,23977.55,23978.35,184185
2026-05-25 05:30:00+00,BANKNIFTY,55048.45,55051.6,55041.55,55048.2,73728
2026-05-25 05:31:00+00,NIFTY,23977.3,23977.3,23974,23974.85,205862
2026-05-25 05:31:00+00,BANKNIFTY,55034.1,55035.3,55025.1,55030,74974
2026-05-25 05:32:00+00,NIFTY,23977.35,23977.9,23974.5,23975.65,307364
2026-05-25 05:32:00+00,BANKNIFTY,55026.65,55027.2,55019.05,55026.05,260314
2026-05-25 05:33:00+00,NIFTY,23974.95,23974.95,23972,23973.3,191470
2026-05-25 05:33:00+00,BANKNIFTY,55038.55,55046.8,55033.25,55041.95,346820
2026-05-25 05:34:00+00,NIFTY,23977.5,23980.95,23975.8,23979.25,238209
2026-05-25 05:34:00+00,BANKNIFTY,55050.35,55069.1,55050.35,55064.65,214730
2026-05-25 05:35:00+00,NIFTY,23983.75,23985.95,23982.3,23985,265057
2026-05-25 05:35:00+00,BANKNIFTY,55073.1,55076.15,55069.15,55074.2,238739
2026-05-25 05:36:00+00,NIFTY,23981.3,23981.3,23976.2,23977.4,351955
2026-05-25 05:36:00+00,BANKNIFTY,55063.65,55064.9,55046.8,55046.8,162176
2026-05-25 05:37:00+00,NIFTY,23981.25,23982.1,23979.4,23981.7,157450
2026-05-25 05:37:00+00,BANKNIFTY,55065.5,55072.2,55063.45,55066.85,658407
2026-05-25 05:38:00+00,NIFTY,23979.2,23979.2,23976.65,23977.75,257295
2026-05-25 05:38:00+00,BANKNIFTY,55062.9,55066.05,55058,55061.8,101304
2026-05-25 05:39:00+00,NIFTY,23980.4,23982,23978.2,23982,282528
2026-05-25 05:39:00+00,BANKNIFTY,55076.45,55080.95,55067.75,55079.9,103358
2026-05-25 05:40:00+00,NIFTY,23980.4,23981.5,23977.05,23979.9,373416
2026-05-25 05:40:00+00,BANKNIFTY,55064.9,55067.95,55053.3,55067.95,243344
2026-05-25 05:41:00+00,NIFTY,23979.35,23980.35,23977.15,23979.7,273695
2026-05-25 05:41:00+00,BANKNIFTY,55060.6,55062.4,55054.65,55059.9,105132
2026-05-25 05:42:00+00,NIFTY,23981.75,23984.8,23979.25,23983.8,289761
2026-05-25 05:42:00+00,BANKNIFTY,55068.1,55078.55,55067.3,55076.7,154634
2026-05-25 05:43:00+00,NIFTY,23986.85,23989.9,23986.55,23987.55,288604
2026-05-25 05:43:00+00,BANKNIFTY,55085.4,55093.75,55083.1,55086.9,191230
2026-05-25 05:44:00+00,NIFTY,23989.15,23989.35,23984.75,23985.4,208927
2026-05-25 05:44:00+00,BANKNIFTY,55085,55086.1,55077.15,55083.85,189417
2026-05-25 05:45:00+00,NIFTY,23989,23989,23984.9,23985.65,273522
2026-05-25 05:45:00+00,BANKNIFTY,55084.45,55086.55,55070.9,55075.55,182440
2026-05-25 05:46:00+00,NIFTY,23988.05,23988.05,23984.85,23986.35,184960
2026-05-25 05:46:00+00,BANKNIFTY,55082.6,55082.6,55073.75,55079.3,157274
2026-05-25 05:47:00+00,NIFTY,23985.2,23985.2,23981.65,23982.75,218535
2026-05-25 05:47:00+00,BANKNIFTY,55079,55079,55071.1,55074.85,197503
2026-05-25 05:48:00+00,NIFTY,23981.65,23982.1,23979.25,23980.45,284435
2026-05-25 05:48:00+00,BANKNIFTY,55071.7,55073.7,55062.85,55068.35,166362
2026-05-25 05:49:00+00,NIFTY,23982.85,23982.85,23977.85,23980.95,306876
