time,symbol,expiry,strike,option_type,open,high,low,close,volume
2026-05-25 04:11:00+00,BANKNIFTY,2026-05-26,54900,CE,342,344.6,327.85,330.2,36840
2026-05-25 04:12:00+00,BANKNIFTY,2026-05-26,54900,CE,330.05,347.4,330.05,341.4,36960
2026-05-25 04:13:00+00,BANKNIFTY,2026-05-26,54900,CE,336.8,338.55,325.95,333.35,44070
2026-05-25 04:14:00+00,BANKNIFTY,2026-05-26,54900,CE,332.05,347.2,332.05,346.9,49770
2026-05-25 04:15:00+00,BANKNIFTY,2026-05-26,54900,CE,346.6,348.85,336.45,340.25,27300
2026-05-25 04:11:00+00,BANKNIFTY,2026-05-26,54900,PE,260.45,273,259.75,272.4,41070
2026-05-25 04:12:00+00,BANKNIFTY,2026-05-26,54900,PE,271,271,258.1,265.2,25260
2026-05-25 04:13:00+00,BANKNIFTY,2026-05-26,54900,PE,268.35,275,268,271.7,32220
2026-05-25 04:14:00+00,BANKNIFTY,2026-05-26,54900,PE,271.7,271.7,256.45,256.45,35250
2026-05-25 04:15:00+00,BANKNIFTY,2026-05-26,54900,PE,255.05,264.35,253.95,263.55,23550
2026-05-25 04:16:00+00,NIFTY,2026-05-26,23950,CE,114.7,115.2,110.1,111.55,851565
2026-05-25 04:17:00+00,NIFTY,2026-05-26,23950,CE,109.15,110.85,107.1,107.65,955435
2026-05-25 04:18:00+00,NIFTY,2026-05-26,23950,CE,107.1,108.6,102.65,103.95,2032940
2026-05-25 04:19:00+00,NIFTY,2026-05-26,23950,CE,107.25,110.5,105.5,109.9,1033435
2026-05-25 04:20:00+00,NIFTY,2026-05-26,23950,CE,108.7,111.55,108.05,110.55,483340
2026-05-25 04:16:00+00,NIFTY,2026-05-26,23950,PE,98.3,102.95,97.95,101.7,815620
2026-05-25 04:17:00+00,NIFTY,2026-05-26,23950,PE,103.75,106.85,102.3,106.6,1202500
2026-05-25 04:18:00+00,NIFTY,2026-05-26,23950,PE,107,111.5,105.7,110.85,2228915
2026-05-25 04:19:00+00,NIFTY,2026-05-26,23950,PE,107.1,109.6,103.5,104.1,1271075
2026-05-25 04:20:00+00,NIFTY,2026-05-26,23950,PE,105.7,107.05,102.35,104.1,545155
2026-05-25 04:16:00+00,BANKNIFTY,2026-05-26,54900,CE,340.95,341.75,327.25,335.15,32310
2026-05-25 04:17:00+00,BANKNIFTY,2026-05-26,54900,CE,334.3,335.55,325,328.8,35010
2026-05-25 04:18:00+00,BANKNIFTY,2026-05-26,54900,CE,328.3,333.55,303.95,304.95,77850
2026-05-25 04:19:00+00,BANKNIFTY,2026-05-26,54900,CE,305,319.6,305,314.85,53220
2026-05-25 04:20:00+00,BANKNIFTY,2026-05-26,54900,CE,314.6,322.5,312.85,321.1,32010
2026-05-25 04:16:00+00,BANKNIFTY,2026-05-26,54900,PE,260,273.1,260,266.9,29970
2026-05-25 04:17:00+00,BANKNIFTY,2026-05-26,54900,PE,270,274.9,266.05,272.3,39630
2026-05-25 04:18:00+00,BANKNIFTY,2026-05-26,54900,PE,271.7,285,268.05,283.15,50850
2026-05-25 04:19:00+00,BANKNIFTY,2026-05-26,54900,PE,283,284.4,277.65,280,43590
2026-05-25 04:20:00+00,BANKNIFTY,2026-05-26,54900,PE,281.15,283.6,275,277.7,42120
2026-05-25 04:21:00+00,NIFTY,2026-05-26,23950,CE,109.8,114.1,109.25,112.55,1045395
2026-05-25 04:22:00+00,NIFTY,2026-05-26,23950,CE,111.85,111.85,106.7,109.5,781885
2026-05-25 04:23:00+00,NIFTY,2026-05-26,23950,CE,109.35,111.95,105.35,105.35,665990
2026-05-25 04:24:00+00,NIFTY,2026-05-26,23950,CE,104.7,110.5,104.7,110.5,713245
2026-05-25 04:25:00+00,NIFTY,2026-05-26,23950,CE,110.4,110.45,106.25,106.65,363415
2026-05-25 04:21:00+00,NIFTY,2026-05-26,23950,PE,105.15,105.65,99.8,102.2,945100
2026-05-25 04:22:00+00,NIFTY,2026-05-26,23950,PE,102.7,108,102.7,104.85,1048385
2026-05-25 04:23:00+00,NIFTY,2026-05-26,23950,PE,105.45,109.05,102,109.05,842205
2026-05-25 04:24:00+00,NIFTY,2026-05-26,23950,PE,110,110,103.85,103.85,833365
2026-05-25 04:25:00+00,NIFTY,2026-05-26,23950,PE,103.2,108.2,103.2,108,461045
2026-05-25 04:21:00+00,BANKNIFTY,2026-05-26,54900,CE,321.15,330,317.35,320.5,38430
2026-05-25 04:22:00+00,BANKNIFTY,2026-05-26,54900,CE,322.3,322.3,303.8,310.95,47340
2026-05-25 04:23:00+00,BANKNIFTY,2026-05-26,54900,CE,307.75,314.65,303.45,304.9,34950
2026-05-25 04:24:00+00,BANKNIFTY,2026-05-26,54900,CE,304.1,323.9,304.1,323.9,69600
2026-05-25 04:25:00+00,BANKNIFTY,2026-05-26,54900,CE,325.1,326.1,316.7,318.2,20820
2026-05-25 04:21:00+00,BANKNIFTY,2026-05-26,54900,PE,276,282,270.6,279.35,47250
2026-05-25 04:22:00+00,BANKNIFTY,2026-05-26,54900,PE,277.95,291.95,277.95,286.95,66210
2026-05-25 04:23:00+00,BANKNIFTY,2026-05-26,54900,PE,289.35,294.7,285.25,293.85,44490
2026-05-25 04:24:00+00,BANKNIFTY,2026-05-26,54900,PE,293.75,293.75,275.1,275.2,40920
2026-05-25 04:25:00+00,BANKNIFTY,2026-05-26,54900,PE,274,285.3,274,283.9,23460
2026-05-25 04:26:00+00,NIFTY,2026-05-26,23950,CE,108.2,110.6,108.2,110,530725
2026-05-25 04:27:00+00,NIFTY,2026-05-26,23950,CE,110.1,112.8,109.1,110.45,702455
2026-05-25 04:28:00+00,NIFTY,2026-05-26,23950,CE,109.7,112.1,108.8,110.9,489060
2026-05-25 04:29:00+00,NIFTY,2026-05-26,23950,CE,110.5,111,107.45,110,495755
2026-05-25 04:30:00+00,NIFTY,2026-05-26,23950,CE,110.4,111.5,107.7,108.95,507585
2026-05-25 04:26:00+00,NIFTY,2026-05-26,23950,PE,105.9,105.95,103.5,104.25,597480
2026-05-25 04:27:00+00,NIFTY,2026-05-26,23950,PE,103.9,105.2,101,103.25,668005
2026-05-25 04:28:00+00,NIFTY,2026-05-26,23950,PE,104,104.8,101.25,102.35,436735
2026-05-25 04:29:00+00,NIFTY,2026-05-26,23950,PE,102.55,104.9,100.85,101.55,440895
2026-05-25 04:30:00+00,NIFTY,2026-05-26,23950,PE,100.7,103.4,99.1,102.6,763490
2026-05-25 04:26:00+00,BANKNIFTY,2026-05-26,54900,CE,321.05,327.35,321.05,323.8,21000
2026-05-25 04:27:00+00,BANKNIFTY,2026-05-26,54900,CE,323.95,333.8,323.8,325.25,48150
2026-05-25 04:28:00+00,BANKNIFTY,2026-05-26,54900,CE,322.8,329.95,318.5,327.15,24120
2026-05-25 04:29:00+00,BANKNIFTY,2026-05-26,54900,CE,326.95,332.55,324.2,331.5,35280
2026-05-25 04:30:00+00,BANKNIFTY,2026-05-26,54900,CE,331.25,335,327,329.45,34110
2026-05-25 04:26:00+00,BANKNIFTY,2026-05-26,54900,PE,281.85,282.15,275.9,280.5,34170
2026-05-25 04:27:00+00,BANKNIFTY,2026-05-26,54900,PE,280.1,280.8,272.65,278.05,39810
2026-05-25 04:28:00+00,BANKNIFTY,2026-05-26,54900,PE,280,280.35,272.45,274.15,22980
